stem	voynich_freq	structural_signature	candidate_rank	candidate_latin	candidate_gloss	confidence_structural	latin_frequency	notes
daiin	621	L5_Pda_Sin	1	coquo	cook/boil	0.5	17	Structural_only
daiin	621	L5_Pda_Sin	2	apium	celery_or_parsley	0.5	14	Structural_only
daiin	621	L5_Pda_Sin	3	oleum	oil	0.5	91	Structural_only
daiin	621	L5_Pda_Sin	4	decoquo	boil_down/reduce	0.497	5	Structural_only
daiin	621	L5_Pda_Sin	5	misceo	mix	0.34	8	Structural_only
ol	426	L2_Pol_Sol	1	oleum	oil	0.52	91	Structural_only
ol	426	L2_Pol_Sol	2	tero	grind	0.38	12	Structural_only
ol	426	L2_Pol_Sol	3	pono	place/put	0.38	23	Structural_only
ol	426	L2_Pol_Sol	4	ruta	rue	0.38	52	Structural_only
ol	426	L2_Pol_Sol	5	rosa	rose	0.38	31	Structural_only
chedy	417	L5_Pch_Sdy	1	coquo	cook/boil	0.45	17	Structural_only
chedy	417	L5_Pch_Sdy	2	contero	grind_together	0.43	3	Structural_only
chedy	417	L5_Pch_Sdy	3	humor	fluid_or_humor	0.417	13	Structural_only
chedy	417	L5_Pch_Sdy	4	mentha	mint	0.39	18	Structural_only
chedy	417	L5_Pch_Sdy	5	succus	juice	0.39	22	Structural_only
shedy	371	L5_Psh_Sdy	1	succus	juice	0.54	22	Structural_only
shedy	371	L5_Psh_Sdy	2	salvia	sage	0.44	6	Structural_only
shedy	371	L5_Psh_Sdy	3	humor	fluid_or_humor	0.417	13	Structural_only
shedy	371	L5_Psh_Sdy	4	mentha	mint	0.39	18	Structural_only
shedy	371	L5_Psh_Sdy	5	mel	honey	0.33	12	Structural_only
aiin	367	L4_Pai_Sin	1	aqua	water	0.65	145	Structural_only
aiin	367	L4_Pai_Sin	2	apium	celery_or_parsley	0.39	14	Structural_only
aiin	367	L4_Pai_Sin	3	acetum	vinegar	0.33	8	Structural_only
aiin	367	L4_Pai_Sin	4	tero	grind	0.3	12	Structural_only
aiin	367	L4_Pai_Sin	5	pono	place/put	0.3	23	Structural_only
ar	297	L2_Par_Sar	1	acetum	vinegar	0.41	8	Structural_only
ar	297	L2_Par_Sar	2	tero	grind	0.38	12	Structural_only
ar	297	L2_Par_Sar	3	pono	place/put	0.38	23	Structural_only
ar	297	L2_Par_Sar	4	ruta	rue	0.38	52	Structural_only
ar	297	L2_Par_Sar	5	rosa	rose	0.38	31	Structural_only
or	266	L2_Por_Sor	1	humor	fluid_or_humor	0.453	13	Structural_only
or	266	L2_Por_Sor	2	tero	grind	0.38	12	Structural_only
or	266	L2_Por_Sor	3	pono	place/put	0.38	23	Structural_only
or	266	L2_Por_Sor	4	ruta	rue	0.38	52	Structural_only
or	266	L2_Por_Sor	5	rosa	rose	0.38	31	Structural_only
qokeedy	265	L7_Pqo_Sdy	1	contero	grind_together	0.5	3	Structural_only
qokeedy	265	L7_Pqo_Sdy	2	infundo	pour_in	0.5	6	Structural_only
qokeedy	265	L7_Pqo_Sdy	3	anethum	dill	0.5	12	Structural_only
qokeedy	265	L7_Pqo_Sdy	4	misceo	mix	0.39	8	Structural_only
qokeedy	265	L7_Pqo_Sdy	5	admisceo	mix_in	0.39	4	Structural_only
chol	263	L4_Pch_Sol	1	mel	honey	0.407	12	Structural_only
chol	263	L4_Pch_Sol	2	coquo	cook/boil	0.39	17	Structural_only
chol	263	L4_Pch_Sol	3	contero	grind_together	0.387	3	Structural_only
chol	263	L4_Pch_Sol	4	humor	fluid_or_humor	0.373	13	Structural_only
chol	263	L4_Pch_Sol	5	tero	grind	0.367	12	Structural_only
dar	261	L3_Pda_Sar	1	mel	honey	0.5	12	Structural_only
dar	261	L3_Pda_Sar	2	humor	fluid_or_humor	0.347	13	Structural_only
dar	261	L3_Pda_Sar	3	tero	grind	0.34	12	Structural_only
dar	261	L3_Pda_Sar	4	pono	place/put	0.34	23	Structural_only
dar	261	L3_Pda_Sar	5	ruta	rue	0.34	52	Structural_only
qokeey	254	L6_Pqo_Sey	1	misceo	mix	0.5	8	Structural_only
qokeey	254	L6_Pqo_Sey	2	salvia	sage	0.5	6	Structural_only
qokeey	254	L6_Pqo_Sey	3	acetum	vinegar	0.5	8	Structural_only
qokeey	254	L6_Pqo_Sey	4	mentha	mint	0.4	18	Structural_only
qokeey	254	L6_Pqo_Sey	5	succus	juice	0.4	22	Structural_only
chey	246	L4_Pch_Sey	1	mel	honey	0.407	12	Structural_only
chey	246	L4_Pch_Sey	2	coquo	cook/boil	0.39	17	Structural_only
chey	246	L4_Pch_Sey	3	contero	grind_together	0.387	3	Structural_only
chey	246	L4_Pch_Sey	4	humor	fluid_or_humor	0.373	13	Structural_only
chey	246	L4_Pch_Sey	5	tero	grind	0.367	12	Structural_only
qokain	242	L6_Pqo_Sin	1	misceo	mix	0.5	8	Structural_only
qokain	242	L6_Pqo_Sin	2	salvia	sage	0.5	6	Structural_only
qokain	242	L6_Pqo_Sin	3	acetum	vinegar	0.5	8	Structural_only
qokain	242	L6_Pqo_Sin	4	mentha	mint	0.4	18	Structural_only
qokain	242	L6_Pqo_Sin	5	succus	juice	0.4	22	Structural_only
qokedy	238	L6_Pqo_Sdy	1	mentha	mint	0.5	18	Structural_only
qokedy	238	L6_Pqo_Sdy	2	succus	juice	0.5	22	Structural_only
qokedy	238	L6_Pqo_Sdy	3	humor	fluid_or_humor	0.407	13	Structural_only
qokedy	238	L6_Pqo_Sdy	4	misceo	mix	0.4	8	Structural_only
qokedy	238	L6_Pqo_Sdy	5	salvia	sage	0.4	6	Structural_only
shey	226	L4_Psh_Sey	1	succus	juice	0.497	22	Structural_only
shey	226	L4_Psh_Sey	2	mel	honey	0.407	12	Structural_only
shey	226	L4_Psh_Sey	3	salvia	sage	0.397	6	Structural_only
shey	226	L4_Psh_Sey	4	humor	fluid_or_humor	0.373	13	Structural_only
shey	226	L4_Psh_Sey	5	tero	grind	0.367	12	Structural_only
qokaiin	217	L7_Pqo_Sin	1	decoquo	boil_down/reduce	0.5	5	Structural_only
qokaiin	217	L7_Pqo_Sin	2	contero	grind_together	0.383	3	Structural_only
qokaiin	217	L7_Pqo_Sin	3	infundo	pour_in	0.383	6	Structural_only
qokaiin	217	L7_Pqo_Sin	4	anethum	dill	0.383	12	Structural_only
qokaiin	217	L7_Pqo_Sin	5	misceo	mix	0.373	8	Structural_only
dal	212	L3_Pda_Sal	1	mel	honey	0.5	12	Structural_only
dal	212	L3_Pda_Sal	2	humor	fluid_or_humor	0.347	13	Structural_only
dal	212	L3_Pda_Sal	3	tero	grind	0.34	12	Structural_only
dal	212	L3_Pda_Sal	4	pono	place/put	0.34	23	Structural_only
dal	212	L3_Pda_Sal	5	ruta	rue	0.34	52	Structural_only
al	211	L2_Pal_Sal	1	acetum	vinegar	0.41	8	Structural_only
al	211	L2_Pal_Sal	2	tero	grind	0.38	12	Structural_only
al	211	L2_Pal_Sal	3	pono	place/put	0.38	23	Structural_only
al	211	L2_Pal_Sal	4	ruta	rue	0.38	52	Structural_only
al	211	L2_Pal_Sal	5	rosa	rose	0.38	31	Structural_only
dy	196	L2_Pdy_Sdy	1	mel	honey	0.34	12	Structural_only
dy	196	L2_Pdy_Sdy	2	uro	burn	0.24	3	Structural_only
dy	196	L2_Pdy_Sdy	3	humor	fluid_or_humor	0.187	13	Structural_only
dy	196	L2_Pdy_Sdy	4	tero	grind	0.18	12	Structural_only
dy	196	L2_Pdy_Sdy	5	pono	place/put	0.18	23	Structural_only
s	168	L1_Ps_Ss	1	mel	honey	0.28	12	Structural_only
s	168	L1_Ps_Ss	2	succus	juice	0.25	22	Structural_only
s	168	L1_Ps_Ss	3	uro	burn	0.18	3	Structural_only
qokal	164	L5_Pqo_Sal	1	humor	fluid_or_humor	0.5	13	Structural_only
qokal	164	L5_Pqo_Sal	2	mentha	mint	0.407	18	Structural_only
qokal	164	L5_Pqo_Sal	3	succus	juice	0.407	22	Structural_only
qokal	164	L5_Pqo_Sal	4	misceo	mix	0.373	8	Structural_only
qokal	164	L5_Pqo_Sal	5	tero	grind	0.373	12	Structural_only
okaiin	162	L6_Pok_Sin	1	oleum	oil	0.49	91	Structural_only
okaiin	162	L6_Pok_Sin	2	coquo	cook/boil	0.34	17	Structural_only
okaiin	162	L6_Pok_Sin	3	apium	celery_or_parsley	0.34	14	Structural_only
okaiin	162	L6_Pok_Sin	4	uro	burn	0.32	3	Structural_only
okaiin	162	L6_Pok_Sin	5	decoquo	boil_down/reduce	0.307	5	Structural_only
dain	151	L4_Pda_Sin	1	tero	grind	0.5	12	Structural_only
dain	151	L4_Pda_Sin	2	pono	place/put	0.5	23	Structural_only
dain	151	L4_Pda_Sin	3	ruta	rue	0.5	52	Structural_only
dain	151	L4_Pda_Sin	4	rosa	rose	0.5	31	Structural_only
dain	151	L4_Pda_Sin	5	decoquo	boil_down/reduce	0.403	5	Structural_only
chor	140	L4_Pch_Sor	1	humor	fluid_or_humor	0.573	13	Structural_only
chor	140	L4_Pch_Sor	2	mel	honey	0.407	12	Structural_only
chor	140	L4_Pch_Sor	3	coquo	cook/boil	0.39	17	Structural_only
chor	140	L4_Pch_Sor	4	contero	grind_together	0.387	3	Structural_only
chor	140	L4_Pch_Sor	5	tero	grind	0.367	12	Structural_only
otedy	137	L5_Pot_Sdy	1	humor	fluid_or_humor	0.5	13	Structural_only
otedy	137	L5_Pot_Sdy	2	oleum	oil	0.483	91	Structural_only
otedy	137	L5_Pot_Sdy	3	mentha	mint	0.407	18	Structural_only
otedy	137	L5_Pot_Sdy	4	succus	juice	0.407	22	Structural_only
otedy	137	L5_Pot_Sdy	5	misceo	mix	0.373	8	Structural_only
shol	135	L4_Psh_Sol	1	succus	juice	0.497	22	Structural_only
shol	135	L4_Psh_Sol	2	mel	honey	0.407	12	Structural_only
shol	135	L4_Psh_Sol	3	salvia	sage	0.397	6	Structural_only
shol	135	L4_Psh_Sol	4	humor	fluid_or_humor	0.373	13	Structural_only
shol	135	L4_Psh_Sol	5	tero	grind	0.367	12	Structural_only
cheey	134	L5_Pch_Sey	1	contero	grind_together	0.513	3	Structural_only
cheey	134	L5_Pch_Sey	2	humor	fluid_or_humor	0.5	13	Structural_only
cheey	134	L5_Pch_Sey	3	coquo	cook/boil	0.483	17	Structural_only
cheey	134	L5_Pch_Sey	4	mentha	mint	0.407	18	Structural_only
cheey	134	L5_Pch_Sey	5	succus	juice	0.407	22	Structural_only
okeey	132	L5_Pok_Sey	1	oleum	oil	0.65	91	Structural_only
okeey	132	L5_Pok_Sey	2	coquo	cook/boil	0.5	17	Structural_only
okeey	132	L5_Pok_Sey	3	apium	celery_or_parsley	0.5	14	Structural_only
okeey	132	L5_Pok_Sey	4	decoquo	boil_down/reduce	0.347	5	Structural_only
okeey	132	L5_Pok_Sey	5	misceo	mix	0.34	8	Structural_only
cheol	131	L5_Pch_Sol	1	contero	grind_together	0.513	3	Structural_only
cheol	131	L5_Pch_Sol	2	humor	fluid_or_humor	0.5	13	Structural_only
cheol	131	L5_Pch_Sol	3	coquo	cook/boil	0.483	17	Structural_only
cheol	131	L5_Pch_Sol	4	mentha	mint	0.407	18	Structural_only
cheol	131	L5_Pch_Sol	5	succus	juice	0.407	22	Structural_only
qol	128	L3_Pqo_Sol	1	mel	honey	0.5	12	Structural_only
qol	128	L3_Pqo_Sol	2	humor	fluid_or_humor	0.347	13	Structural_only
qol	128	L3_Pqo_Sol	3	tero	grind	0.34	12	Structural_only
qol	128	L3_Pqo_Sol	4	pono	place/put	0.34	23	Structural_only
qol	128	L3_Pqo_Sol	5	ruta	rue	0.34	52	Structural_only
qokar	126	L5_Pqo_Sar	1	humor	fluid_or_humor	0.5	13	Structural_only
qokar	126	L5_Pqo_Sar	2	mentha	mint	0.407	18	Structural_only
qokar	126	L5_Pqo_Sar	3	succus	juice	0.407	22	Structural_only
qokar	126	L5_Pqo_Sar	4	misceo	mix	0.373	8	Structural_only
qokar	126	L5_Pqo_Sar	5	tero	grind	0.373	12	Structural_only
otaiin	125	L6_Pot_Sin	1	oleum	oil	0.49	91	Structural_only
otaiin	125	L6_Pot_Sin	2	coquo	cook/boil	0.34	17	Structural_only
otaiin	125	L6_Pot_Sin	3	apium	celery_or_parsley	0.34	14	Structural_only
otaiin	125	L6_Pot_Sin	4	uro	burn	0.32	3	Structural_only
otaiin	125	L6_Pot_Sin	5	decoquo	boil_down/reduce	0.307	5	Structural_only
otar	123	L4_Pot_Sar	1	tero	grind	0.5	12	Structural_only
otar	123	L4_Pot_Sar	2	pono	place/put	0.5	23	Structural_only
otar	123	L4_Pot_Sar	3	ruta	rue	0.5	52	Structural_only
otar	123	L4_Pot_Sar	4	rosa	rose	0.5	31	Structural_only
otar	123	L4_Pot_Sar	5	oleum	oil	0.49	91	Structural_only
qoky	122	L4_Pqo_Sky	1	mel	honey	0.407	12	Structural_only
qoky	122	L4_Pqo_Sky	2	humor	fluid_or_humor	0.373	13	Structural_only
qoky	122	L4_Pqo_Sky	3	tero	grind	0.367	12	Structural_only
qoky	122	L4_Pqo_Sky	4	pono	place/put	0.367	23	Structural_only
qoky	122	L4_Pqo_Sky	5	ruta	rue	0.367	52	Structural_only
oteey	117	L5_Pot_Sey	1	oleum	oil	0.65	91	Structural_only
oteey	117	L5_Pot_Sey	2	coquo	cook/boil	0.5	17	Structural_only
oteey	117	L5_Pot_Sey	3	apium	celery_or_parsley	0.5	14	Structural_only
oteey	117	L5_Pot_Sey	4	decoquo	boil_down/reduce	0.347	5	Structural_only
oteey	117	L5_Pot_Sey	5	misceo	mix	0.34	8	Structural_only
otal	117	L4_Pot_Sal	1	tero	grind	0.5	12	Structural_only
otal	117	L4_Pot_Sal	2	pono	place/put	0.5	23	Structural_only
otal	117	L4_Pot_Sal	3	ruta	rue	0.5	52	Structural_only
otal	117	L4_Pot_Sal	4	rosa	rose	0.5	31	Structural_only
otal	117	L4_Pot_Sal	5	oleum	oil	0.49	91	Structural_only
okain	115	L5_Pok_Sin	1	oleum	oil	0.65	91	Structural_only
okain	115	L5_Pok_Sin	2	coquo	cook/boil	0.5	17	Structural_only
okain	115	L5_Pok_Sin	3	apium	celery_or_parsley	0.5	14	Structural_only
okain	115	L5_Pok_Sin	4	decoquo	boil_down/reduce	0.347	5	Structural_only
okain	115	L5_Pok_Sin	5	misceo	mix	0.34	8	Structural_only
okal	115	L4_Pok_Sal	1	tero	grind	0.5	12	Structural_only
okal	115	L4_Pok_Sal	2	pono	place/put	0.5	23	Structural_only
okal	115	L4_Pok_Sal	3	ruta	rue	0.5	52	Structural_only
okal	115	L4_Pok_Sal	4	rosa	rose	0.5	31	Structural_only
okal	115	L4_Pok_Sal	5	oleum	oil	0.49	91	Structural_only
sheey	115	L5_Psh_Sey	1	succus	juice	0.557	22	Structural_only
sheey	115	L5_Psh_Sey	2	salvia	sage	0.523	6	Structural_only
sheey	115	L5_Psh_Sey	3	humor	fluid_or_humor	0.5	13	Structural_only
sheey	115	L5_Psh_Sey	4	mentha	mint	0.407	18	Structural_only
sheey	115	L5_Psh_Sey	5	misceo	mix	0.373	8	Structural_only
chdy	114	L4_Pch_Sdy	1	coquo	cook/boil	0.39	17	Structural_only
chdy	114	L4_Pch_Sdy	2	mel	honey	0.34	12	Structural_only
chdy	114	L4_Pch_Sdy	3	contero	grind_together	0.32	3	Structural_only
chdy	114	L4_Pch_Sdy	4	humor	fluid_or_humor	0.307	13	Structural_only
chdy	114	L4_Pch_Sdy	5	tero	grind	0.3	12	Structural_only
y	113	L1_Py_Sy	1	mel	honey	0.28	12	Structural_only
y	113	L1_Py_Sy	2	uro	burn	0.18	3	Structural_only
chckhy	106	L6_Pch_Shy	1	contero	grind_together	0.44	3	Structural_only
chckhy	106	L6_Pch_Shy	2	mentha	mint	0.4	18	Structural_only
chckhy	106	L6_Pch_Shy	3	succus	juice	0.4	22	Structural_only
chckhy	106	L6_Pch_Shy	4	coquo	cook/boil	0.39	17	Structural_only
chckhy	106	L6_Pch_Shy	5	humor	fluid_or_humor	0.307	13	Structural_only
saiin	106	L5_Psa_Sin	1	salvia	sage	0.64	6	Structural_only
saiin	106	L5_Psa_Sin	2	coquo	cook/boil	0.5	17	Structural_only
saiin	106	L5_Psa_Sin	3	apium	celery_or_parsley	0.5	14	Structural_only
saiin	106	L5_Psa_Sin	4	oleum	oil	0.5	91	Structural_only
saiin	106	L5_Psa_Sin	5	succus	juice	0.39	22	Structural_only
chy	98	L3_Pch_Shy	1	mel	honey	0.4	12	Structural_only
chy	98	L3_Pch_Shy	2	coquo	cook/boil	0.33	17	Structural_only
chy	98	L3_Pch_Shy	3	uro	burn	0.3	3	Structural_only
chy	98	L3_Pch_Shy	4	contero	grind_together	0.26	3	Structural_only
chy	98	L3_Pch_Shy	5	humor	fluid_or_humor	0.247	13	Structural_only
okar	96	L4_Pok_Sar	1	tero	grind	0.5	12	Structural_only
okar	96	L4_Pok_Sar	2	pono	place/put	0.5	23	Structural_only
okar	96	L4_Pok_Sar	3	ruta	rue	0.5	52	Structural_only
okar	96	L4_Pok_Sar	4	rosa	rose	0.5	31	Structural_only
okar	96	L4_Pok_Sar	5	oleum	oil	0.49	91	Structural_only
lchedy	95	L6_Plc_Sdy	1	mentha	mint	0.44	18	Structural_only
lchedy	95	L6_Plc_Sdy	2	succus	juice	0.44	22	Structural_only
lchedy	95	L6_Plc_Sdy	3	humor	fluid_or_humor	0.347	13	Structural_only
lchedy	95	L6_Plc_Sdy	4	misceo	mix	0.34	8	Structural_only
lchedy	95	L6_Plc_Sdy	5	salvia	sage	0.34	6	Structural_only
oty	95	L3_Pot_Sty	1	mel	honey	0.5	12	Structural_only
oty	95	L3_Pot_Sty	2	humor	fluid_or_humor	0.347	13	Structural_only
oty	95	L3_Pot_Sty	3	tero	grind	0.34	12	Structural_only
oty	95	L3_Pot_Sty	4	pono	place/put	0.34	23	Structural_only
oty	95	L3_Pot_Sty	5	ruta	rue	0.34	52	Structural_only
okedy	94	L5_Pok_Sdy	1	humor	fluid_or_humor	0.5	13	Structural_only
okedy	94	L5_Pok_Sdy	2	oleum	oil	0.483	91	Structural_only
okedy	94	L5_Pok_Sdy	3	mentha	mint	0.407	18	Structural_only
okedy	94	L5_Pok_Sdy	4	succus	juice	0.407	22	Structural_only
okedy	94	L5_Pok_Sdy	5	misceo	mix	0.373	8	Structural_only
oteedy	92	L6_Pot_Sdy	1	misceo	mix	0.5	8	Structural_only
oteedy	92	L6_Pot_Sdy	2	salvia	sage	0.5	6	Structural_only
oteedy	92	L6_Pot_Sdy	3	acetum	vinegar	0.5	8	Structural_only
oteedy	92	L6_Pot_Sdy	4	oleum	oil	0.49	91	Structural_only
oteedy	92	L6_Pot_Sdy	5	mentha	mint	0.4	18	Structural_only
sheol	90	L5_Psh_Sol	1	succus	juice	0.557	22	Structural_only
