stem	voynich_freq	structural_signature	candidate_rank	candidate_latin	candidate_gloss	confidence_structural	latin_frequency	notes
sheol	90	L5_Psh_Sol	2	salvia	sage	0.523	6	Structural_only
sheol	90	L5_Psh_Sol	3	humor	fluid_or_humor	0.5	13	Structural_only
sheol	90	L5_Psh_Sol	4	mentha	mint	0.407	18	Structural_only
sheol	90	L5_Psh_Sol	5	misceo	mix	0.373	8	Structural_only
qokey	90	L5_Pqo_Sey	1	humor	fluid_or_humor	0.5	13	Structural_only
qokey	90	L5_Pqo_Sey	2	mentha	mint	0.407	18	Structural_only
qokey	90	L5_Pqo_Sey	3	succus	juice	0.407	22	Structural_only
qokey	90	L5_Pqo_Sey	4	misceo	mix	0.373	8	Structural_only
qokey	90	L5_Pqo_Sey	5	tero	grind	0.373	12	Structural_only
dol	89	L3_Pdo_Sol	1	mel	honey	0.5	12	Structural_only
dol	89	L3_Pdo_Sol	2	humor	fluid_or_humor	0.347	13	Structural_only
dol	89	L3_Pdo_Sol	3	tero	grind	0.34	12	Structural_only
dol	89	L3_Pdo_Sol	4	pono	place/put	0.34	23	Structural_only
dol	89	L3_Pdo_Sol	5	ruta	rue	0.34	52	Structural_only
okeedy	89	L6_Pok_Sdy	1	misceo	mix	0.5	8	Structural_only
okeedy	89	L6_Pok_Sdy	2	salvia	sage	0.5	6	Structural_only
okeedy	89	L6_Pok_Sdy	3	acetum	vinegar	0.5	8	Structural_only
okeedy	89	L6_Pok_Sdy	4	oleum	oil	0.49	91	Structural_only
okeedy	89	L6_Pok_Sdy	5	mentha	mint	0.4	18	Structural_only
qotedy	85	L6_Pqo_Sdy	1	mentha	mint	0.5	18	Structural_only
qotedy	85	L6_Pqo_Sdy	2	succus	juice	0.5	22	Structural_only
qotedy	85	L6_Pqo_Sdy	3	humor	fluid_or_humor	0.407	13	Structural_only
qotedy	85	L6_Pqo_Sdy	4	misceo	mix	0.4	8	Structural_only
qotedy	85	L6_Pqo_Sdy	5	salvia	sage	0.4	6	Structural_only
sho	84	L3_Psh_Sho	1	mel	honey	0.5	12	Structural_only
sho	84	L3_Psh_Sho	2	succus	juice	0.47	22	Structural_only
sho	84	L3_Psh_Sho	3	salvia	sage	0.37	6	Structural_only
sho	84	L3_Psh_Sho	4	humor	fluid_or_humor	0.347	13	Structural_only
sho	84	L3_Psh_Sho	5	tero	grind	0.34	12	Structural_only
dam	82	L3_Pda_Sam	1	mel	honey	0.5	12	Structural_only
dam	82	L3_Pda_Sam	2	humor	fluid_or_humor	0.347	13	Structural_only
dam	82	L3_Pda_Sam	3	tero	grind	0.34	12	Structural_only
dam	82	L3_Pda_Sam	4	pono	place/put	0.34	23	Structural_only
dam	82	L3_Pda_Sam	5	ruta	rue	0.34	52	Structural_only
qokol	82	L5_Pqo_Sol	1	humor	fluid_or_humor	0.5	13	Structural_only
qokol	82	L5_Pqo_Sol	2	mentha	mint	0.407	18	Structural_only
qokol	82	L5_Pqo_Sol	3	succus	juice	0.407	22	Structural_only
qokol	82	L5_Pqo_Sol	4	misceo	mix	0.373	8	Structural_only
qokol	82	L5_Pqo_Sol	5	tero	grind	0.373	12	Structural_only
cthy	79	L4_Pct_Shy	1	coquo	cook/boil	0.39	17	Structural_only
cthy	79	L4_Pct_Shy	2	mel	honey	0.34	12	Structural_only
cthy	79	L4_Pct_Shy	3	contero	grind_together	0.32	3	Structural_only
cthy	79	L4_Pct_Shy	4	humor	fluid_or_humor	0.307	13	Structural_only
cthy	79	L4_Pct_Shy	5	tero	grind	0.3	12	Structural_only
otain	78	L5_Pot_Sin	1	oleum	oil	0.65	91	Structural_only
otain	78	L5_Pot_Sin	2	coquo	cook/boil	0.5	17	Structural_only
otain	78	L5_Pot_Sin	3	apium	celery_or_parsley	0.5	14	Structural_only
otain	78	L5_Pot_Sin	4	decoquo	boil_down/reduce	0.347	5	Structural_only
otain	78	L5_Pot_Sin	5	misceo	mix	0.34	8	Structural_only
oky	78	L3_Pok_Sky	1	mel	honey	0.5	12	Structural_only
oky	78	L3_Pok_Sky	2	humor	fluid_or_humor	0.347	13	Structural_only
oky	78	L3_Pok_Sky	3	tero	grind	0.34	12	Structural_only
oky	78	L3_Pok_Sky	4	pono	place/put	0.34	23	Structural_only
oky	78	L3_Pok_Sky	5	ruta	rue	0.34	52	Structural_only
am	78	L2_Pam_Sam	1	acetum	vinegar	0.41	8	Structural_only
am	78	L2_Pam_Sam	2	tero	grind	0.38	12	Structural_only
am	78	L2_Pam_Sam	3	pono	place/put	0.38	23	Structural_only
am	78	L2_Pam_Sam	4	ruta	rue	0.38	52	Structural_only
am	78	L2_Pam_Sam	5	rosa	rose	0.38	31	Structural_only
dair	73	L4_Pda_Sir	1	tero	grind	0.5	12	Structural_only
dair	73	L4_Pda_Sir	2	pono	place/put	0.5	23	Structural_only
dair	73	L4_Pda_Sir	3	ruta	rue	0.5	52	Structural_only
dair	73	L4_Pda_Sir	4	rosa	rose	0.5	31	Structural_only
dair	73	L4_Pda_Sir	5	decoquo	boil_down/reduce	0.403	5	Structural_only
shy	72	L3_Psh_Shy	1	mel	honey	0.4	12	Structural_only
shy	72	L3_Psh_Shy	2	succus	juice	0.37	22	Structural_only
shy	72	L3_Psh_Shy	3	uro	burn	0.3	3	Structural_only
shy	72	L3_Psh_Shy	4	salvia	sage	0.27	6	Structural_only
shy	72	L3_Psh_Shy	5	humor	fluid_or_humor	0.247	13	Structural_only
qotaiin	72	L7_Pqo_Sin	1	decoquo	boil_down/reduce	0.5	5	Structural_only
qotaiin	72	L7_Pqo_Sin	2	contero	grind_together	0.383	3	Structural_only
qotaiin	72	L7_Pqo_Sin	3	infundo	pour_in	0.383	6	Structural_only
qotaiin	72	L7_Pqo_Sin	4	anethum	dill	0.383	12	Structural_only
qotaiin	72	L7_Pqo_Sin	5	misceo	mix	0.373	8	Structural_only
sheedy	70	L6_Psh_Sdy	1	succus	juice	0.65	22	Structural_only
sheedy	70	L6_Psh_Sdy	2	salvia	sage	0.55	6	Structural_only
sheedy	70	L6_Psh_Sdy	3	mentha	mint	0.5	18	Structural_only
sheedy	70	L6_Psh_Sdy	4	humor	fluid_or_humor	0.407	13	Structural_only
sheedy	70	L6_Psh_Sdy	5	misceo	mix	0.4	8	Structural_only
qoty	70	L4_Pqo_Sty	1	mel	honey	0.407	12	Structural_only
qoty	70	L4_Pqo_Sty	2	humor	fluid_or_humor	0.373	13	Structural_only
qoty	70	L4_Pqo_Sty	3	tero	grind	0.367	12	Structural_only
qoty	70	L4_Pqo_Sty	4	pono	place/put	0.367	23	Structural_only
qoty	70	L4_Pqo_Sty	5	ruta	rue	0.367	52	Structural_only
ain	69	L3_Pai_Sin	1	uro	burn	0.5	3	Structural_only
ain	69	L3_Pai_Sin	2	apium	celery_or_parsley	0.43	14	Structural_only
ain	69	L3_Pai_Sin	3	aqua	water	0.39	145	Structural_only
ain	69	L3_Pai_Sin	4	mel	honey	0.3	12	Structural_only
ain	69	L3_Pai_Sin	5	coquo	cook/boil	0.28	17	Structural_only
qoteedy	68	L7_Pqo_Sdy	1	contero	grind_together	0.5	3	Structural_only
qoteedy	68	L7_Pqo_Sdy	2	infundo	pour_in	0.5	6	Structural_only
qoteedy	68	L7_Pqo_Sdy	3	anethum	dill	0.5	12	Structural_only
qoteedy	68	L7_Pqo_Sdy	4	misceo	mix	0.39	8	Structural_only
qoteedy	68	L7_Pqo_Sdy	5	admisceo	mix_in	0.39	4	Structural_only
r	67	L1_Pr_Sr	1	mel	honey	0.28	12	Structural_only
r	67	L1_Pr_Sr	2	ruta	rue	0.27	52	Structural_only
r	67	L1_Pr_Sr	3	rosa	rose	0.27	31	Structural_only
r	67	L1_Pr_Sr	4	uro	burn	0.18	3	Structural_only
shor	66	L4_Psh_Sor	1	humor	fluid_or_humor	0.573	13	Structural_only
shor	66	L4_Psh_Sor	2	succus	juice	0.497	22	Structural_only
shor	66	L4_Psh_Sor	3	mel	honey	0.407	12	Structural_only
shor	66	L4_Psh_Sor	4	salvia	sage	0.397	6	Structural_only
shor	66	L4_Psh_Sor	5	tero	grind	0.367	12	Structural_only
chcthy	66	L6_Pch_Shy	1	contero	grind_together	0.44	3	Structural_only
chcthy	66	L6_Pch_Shy	2	mentha	mint	0.4	18	Structural_only
chcthy	66	L6_Pch_Shy	3	succus	juice	0.4	22	Structural_only
chcthy	66	L6_Pch_Shy	4	coquo	cook/boil	0.39	17	Structural_only
chcthy	66	L6_Pch_Shy	5	humor	fluid_or_humor	0.307	13	Structural_only
okol	65	L4_Pok_Sol	1	tero	grind	0.5	12	Structural_only
okol	65	L4_Pok_Sol	2	pono	place/put	0.5	23	Structural_only
okol	65	L4_Pok_Sol	3	ruta	rue	0.5	52	Structural_only
okol	65	L4_Pok_Sol	4	rosa	rose	0.5	31	Structural_only
okol	65	L4_Pok_Sol	5	oleum	oil	0.49	91	Structural_only
sar	64	L3_Psa_Sar	1	salvia	sage	0.52	6	Structural_only
sar	64	L3_Psa_Sar	2	mel	honey	0.5	12	Structural_only
sar	64	L3_Psa_Sar	3	succus	juice	0.47	22	Structural_only
sar	64	L3_Psa_Sar	4	humor	fluid_or_humor	0.347	13	Structural_only
sar	64	L3_Psa_Sar	5	tero	grind	0.34	12	Structural_only
otol	64	L4_Pot_Sol	1	tero	grind	0.5	12	Structural_only
otol	64	L4_Pot_Sol	2	pono	place/put	0.5	23	Structural_only
otol	64	L4_Pot_Sol	3	ruta	rue	0.5	52	Structural_only
otol	64	L4_Pot_Sol	4	rosa	rose	0.5	31	Structural_only
otol	64	L4_Pot_Sol	5	oleum	oil	0.49	91	Structural_only
raiin	64	L5_Pra_Sin	1	coquo	cook/boil	0.5	17	Structural_only
raiin	64	L5_Pra_Sin	2	apium	celery_or_parsley	0.5	14	Structural_only
raiin	64	L5_Pra_Sin	3	oleum	oil	0.5	91	Structural_only
raiin	64	L5_Pra_Sin	4	ruta	rue	0.49	52	Structural_only
raiin	64	L5_Pra_Sin	5	rosa	rose	0.49	31	Structural_only
chody	63	L5_Pch_Sdy	1	coquo	cook/boil	0.45	17	Structural_only
chody	63	L5_Pch_Sdy	2	contero	grind_together	0.43	3	Structural_only
chody	63	L5_Pch_Sdy	3	humor	fluid_or_humor	0.417	13	Structural_only
chody	63	L5_Pch_Sdy	4	mentha	mint	0.39	18	Structural_only
chody	63	L5_Pch_Sdy	5	succus	juice	0.39	22	Structural_only
cheor	63	L5_Pch_Sor	1	humor	fluid_or_humor	0.7	13	Structural_only
cheor	63	L5_Pch_Sor	2	contero	grind_together	0.513	3	Structural_only
cheor	63	L5_Pch_Sor	3	coquo	cook/boil	0.483	17	Structural_only
cheor	63	L5_Pch_Sor	4	mentha	mint	0.407	18	Structural_only
cheor	63	L5_Pch_Sor	5	succus	juice	0.407	22	Structural_only
qotain	62	L6_Pqo_Sin	1	misceo	mix	0.5	8	Structural_only
qotain	62	L6_Pqo_Sin	2	salvia	sage	0.5	6	Structural_only
qotain	62	L6_Pqo_Sin	3	acetum	vinegar	0.5	8	Structural_only
qotain	62	L6_Pqo_Sin	4	mentha	mint	0.4	18	Structural_only
qotain	62	L6_Pqo_Sin	5	succus	juice	0.4	22	Structural_only
cheody	61	L6_Pch_Sdy	1	contero	grind_together	0.54	3	Structural_only
cheody	61	L6_Pch_Sdy	2	mentha	mint	0.5	18	Structural_only
cheody	61	L6_Pch_Sdy	3	succus	juice	0.5	22	Structural_only
cheody	61	L6_Pch_Sdy	4	humor	fluid_or_humor	0.407	13	Structural_only
cheody	61	L6_Pch_Sdy	5	misceo	mix	0.4	8	Structural_only
o	60	L1_Po_So	1	tero	grind	0.32	12	Structural_only
o	60	L1_Po_So	2	pono	place/put	0.32	23	Structural_only
o	60	L1_Po_So	3	ruta	rue	0.32	52	Structural_only
o	60	L1_Po_So	4	rosa	rose	0.32	31	Structural_only
o	60	L1_Po_So	5	oleum	oil	0.31	91	Structural_only
air	57	L3_Pai_Sir	1	uro	burn	0.5	3	Structural_only
air	57	L3_Pai_Sir	2	apium	celery_or_parsley	0.43	14	Structural_only
air	57	L3_Pai_Sir	3	aqua	water	0.39	145	Structural_only
air	57	L3_Pai_Sir	4	mel	honey	0.3	12	Structural_only
air	57	L3_Pai_Sir	5	coquo	cook/boil	0.28	17	Structural_only
qotar	57	L5_Pqo_Sar	1	humor	fluid_or_humor	0.5	13	Structural_only
qotar	57	L5_Pqo_Sar	2	mentha	mint	0.407	18	Structural_only
qotar	57	L5_Pqo_Sar	3	succus	juice	0.407	22	Structural_only
qotar	57	L5_Pqo_Sar	4	misceo	mix	0.373	8	Structural_only
qotar	57	L5_Pqo_Sar	5	tero	grind	0.373	12	Structural_only
sol	55	L3_Pso_Sol	1	mel	honey	0.5	12	Structural_only
sol	55	L3_Pso_Sol	2	succus	juice	0.47	22	Structural_only
sol	55	L3_Pso_Sol	3	salvia	sage	0.37	6	Structural_only
sol	55	L3_Pso_Sol	4	humor	fluid_or_humor	0.347	13	Structural_only
sol	55	L3_Pso_Sol	5	tero	grind	0.34	12	Structural_only
qotal	53	L5_Pqo_Sal	1	humor	fluid_or_humor	0.5	13	Structural_only
qotal	53	L5_Pqo_Sal	2	mentha	mint	0.407	18	Structural_only
qotal	53	L5_Pqo_Sal	3	succus	juice	0.407	22	Structural_only
qotal	53	L5_Pqo_Sal	4	misceo	mix	0.373	8	Structural_only
qotal	53	L5_Pqo_Sal	5	tero	grind	0.373	12	Structural_only
okeol	52	L5_Pok_Sol	1	oleum	oil	0.65	91	Structural_only
okeol	52	L5_Pok_Sol	2	coquo	cook/boil	0.5	17	Structural_only
okeol	52	L5_Pok_Sol	3	apium	celery_or_parsley	0.5	14	Structural_only
okeol	52	L5_Pok_Sol	4	decoquo	boil_down/reduce	0.347	5	Structural_only
okeol	52	L5_Pok_Sol	5	misceo	mix	0.34	8	Structural_only
char	52	L4_Pch_Sar	1	mel	honey	0.407	12	Structural_only
char	52	L4_Pch_Sar	2	coquo	cook/boil	0.39	17	Structural_only
char	52	L4_Pch_Sar	3	contero	grind_together	0.387	3	Structural_only
char	52	L4_Pch_Sar	4	humor	fluid_or_humor	0.373	13	Structural_only
char	52	L4_Pch_Sar	5	tero	grind	0.367	12	Structural_only
shckhy	51	L6_Psh_Shy	1	succus	juice	0.55	22	Structural_only
shckhy	51	L6_Psh_Shy	2	salvia	sage	0.45	6	Structural_only
shckhy	51	L6_Psh_Shy	3	mentha	mint	0.4	18	Structural_only
shckhy	51	L6_Psh_Shy	4	humor	fluid_or_humor	0.307	13	Structural_only
shckhy	51	L6_Psh_Shy	5	misceo	mix	0.3	8	Structural_only
okey	50	L4_Pok_Sey	1	tero	grind	0.5	12	Structural_only
okey	50	L4_Pok_Sey	2	pono	place/put	0.5	23	Structural_only
okey	50	L4_Pok_Sey	3	ruta	rue	0.5	52	Structural_only
okey	50	L4_Pok_Sey	4	rosa	rose	0.5	31	Structural_only
okey	50	L4_Pok_Sey	5	oleum	oil	0.49	91	Structural_only
cheedy	50	L6_Pch_Sdy	1	contero	grind_together	0.54	3	Structural_only
cheedy	50	L6_Pch_Sdy	2	mentha	mint	0.5	18	Structural_only
cheedy	50	L6_Pch_Sdy	3	succus	juice	0.5	22	Structural_only
cheedy	50	L6_Pch_Sdy	4	humor	fluid_or_humor	0.407	13	Structural_only
cheedy	50	L6_Pch_Sdy	5	misceo	mix	0.4	8	Structural_only
kaiin	50	L5_Pka_Sin	1	coquo	cook/boil	0.5	17	Structural_only
kaiin	50	L5_Pka_Sin	2	apium	celery_or_parsley	0.5	14	Structural_only
kaiin	50	L5_Pka_Sin	3	oleum	oil	0.5	91	Structural_only
kaiin	50	L5_Pka_Sin	4	decoquo	boil_down/reduce	0.347	5	Structural_only
kaiin	50	L5_Pka_Sin	5	misceo	mix	0.34	8	Structural_only
dor	49	L3_Pdo_Sor	1	humor	fluid_or_humor	0.547	13	Structural_only
dor	49	L3_Pdo_Sor	2	mel	honey	0.5	12	Structural_only
dor	49	L3_Pdo_Sor	3	tero	grind	0.34	12	Structural_only
dor	49	L3_Pdo_Sor	4	pono	place/put	0.34	23	Structural_only
dor	49	L3_Pdo_Sor	5	ruta	rue	0.34	52	Structural_only
qokchdy	49	L7_Pqo_Sdy	1	contero	grind_together	0.383	3	Structural_only
qokchdy	49	L7_Pqo_Sdy	2	infundo	pour_in	0.383	6	Structural_only
qokchdy	49	L7_Pqo_Sdy	3	anethum	dill	0.383	12	Structural_only
qokchdy	49	L7_Pqo_Sdy	4	mentha	mint	0.373	18	Structural_only
qokchdy	49	L7_Pqo_Sdy	5	succus	juice	0.373	22	Structural_only
qokchy	49	L6_Pqo_Shy	1	mentha	mint	0.44	18	Structural_only
qokchy	49	L6_Pqo_Shy	2	succus	juice	0.44	22	Structural_only
qokchy	49	L6_Pqo_Shy	3	humor	fluid_or_humor	0.347	13	Structural_only
qokchy	49	L6_Pqo_Shy	4	misceo	mix	0.34	8	Structural_only
qokchy	49	L6_Pqo_Shy	5	salvia	sage	0.34	6	Structural_only
cho	48	L3_Pch_Sho	1	mel	honey	0.5	12	Structural_only
cho	48	L3_Pch_Sho	2	contero	grind_together	0.36	3	Structural_only
cho	48	L3_Pch_Sho	3	humor	fluid_or_humor	0.347	13	Structural_only
cho	48	L3_Pch_Sho	4	tero	grind	0.34	12	Structural_only
cho	48	L3_Pch_Sho	5	pono	place/put	0.34	23	Structural_only
l	48	L1_Pl_Sl	1	mel	honey	0.28	12	Structural_only
l	48	L1_Pl_Sl	2	uro	burn	0.18	3	Structural_only
opchedy	47	L7_Pop_Sdy	1	contero	grind_together	0.43	3	Structural_only
opchedy	47	L7_Pop_Sdy	2	infundo	pour_in	0.43	6	Structural_only
opchedy	47	L7_Pop_Sdy	3	anethum	dill	0.43	12	Structural_only
opchedy	47	L7_Pop_Sdy	4	mentha	mint	0.42	18	Structural_only
opchedy	47	L7_Pop_Sdy	5	succus	juice	0.42	22	Structural_only
ykeey	47	L5_Pyk_Sey	1	humor	fluid_or_humor	0.5	13	Structural_only
ykeey	47	L5_Pyk_Sey	2	mentha	mint	0.407	18	Structural_only
ykeey	47	L5_Pyk_Sey	3	succus	juice	0.407	22	Structural_only
ykeey	47	L5_Pyk_Sey	4	misceo	mix	0.373	8	Structural_only
ykeey	47	L5_Pyk_Sey	5	tero	grind	0.373	12	Structural_only
otey	47	L4_Pot_Sey	1	tero	grind	0.5	12	Structural_only
otey	47	L4_Pot_Sey	2	pono	place/put	0.5	23	Structural_only
otey	47	L4_Pot_Sey	3	ruta	rue	0.5	52	Structural_only
otey	47	L4_Pot_Sey	4	rosa	rose	0.5	31	Structural_only
otey	47	L4_Pot_Sey	5	oleum	oil	0.49	91	Structural_only
oly	46	L3_Pol_Sly	1	mel	honey	0.5	12	Structural_only
oly	46	L3_Pol_Sly	2	oleum	oil	0.48	91	Structural_only
oly	46	L3_Pol_Sly	3	humor	fluid_or_humor	0.347	13	Structural_only
oly	46	L3_Pol_Sly	4	tero	grind	0.34	12	Structural_only
oly	46	L3_Pol_Sly	5	pono	place/put	0.34	23	Structural_only
sain	46	L4_Psa_Sin	1	salvia	sage	0.68	6	Structural_only
sain	46	L4_Psa_Sin	2	tero	grind	0.5	12	Structural_only
sain	46	L4_Psa_Sin	3	pono	place/put	0.5	23	Structural_only
sain	46	L4_Psa_Sin	4	ruta	rue	0.5	52	Structural_only
sain	46	L4_Psa_Sin	5	rosa	rose	0.5	31	Structural_only
