pattern	Herbal	Zodiac	Biological	Recipes	total	universal
[ROOT]	1112	345	743	1243	3443	yes
[ROOT]-in	502	95	195	747	1539	yes
ch-[ROOT]-y	533	129	357	435	1454	yes
ch-[ROOT]	741	123	105	380	1349	yes
[ROOT]-y	582	147	176	240	1145	yes
[ROOT]-dy	251	61	310	437	1059	yes
[ROOT]-ey	272	78	237	394	981	yes
qo-[ROOT]-ey	111	14	289	422	836	yes
qo-[ROOT]-in	108	4	302	402	816	yes
qo-[ROOT]-dy	84	9	395	325	813	yes
da-[ROOT]	306	75	161	149	691	yes
sh-[ROOT]	411	48	77	152	688	yes
sh-[ROOT]-y	184	46	230	208	668	yes
ch-[ROOT]-dy	134	34	235	258	661	yes
ot-[ROOT]	174	119	95	245	633	yes
da-[ROOT]-in	374	29	70	114	587	yes
ok-[ROOT]	226	104	88	162	580	yes
qo-[ROOT]	141	7	170	204	522	yes
qo-[ROOT]-y	224	10	130	134	498	yes
ch-[ROOT]-ey	104	73	86	174	437	yes
ch-[ROOT]-in	170	23	31	200	424	yes
[ROOT]-ol	221	26	74	100	421	yes
sh-[ROOT]-dy	70	13	178	128	389	yes
[ROOT]-ar	142	41	34	171	388	yes
ok-[ROOT]-in	81	20	79	176	356	yes
[ROOT]-or	223	15	31	77	346	yes
ot-[ROOT]-dy	29	46	76	131	282	yes
ot-[ROOT]-in	50	36	39	156	281	yes
ot-[ROOT]-y	80	74	44	70	268	yes
ok-[ROOT]-ey	44	39	36	144	263	yes
qo-[ROOT]-al	40	12	134	73	259	yes
[ROOT]-al	72	28	30	113	243	yes
ok-[ROOT]-y	70	65	50	54	239	yes
qo-[ROOT]-ar	64	2	67	100	233	yes
ok-[ROOT]-dy	40	33	56	96	225	yes
ot-[ROOT]-ey	26	60	27	109	222	yes
sa-[ROOT]	37	33	71	70	211	yes
qo-[ROOT]-ol	97	8	44	54	203	yes
ch-[ROOT]-ol	70	20	35	78	203	yes
ch-[ROOT]-ar	52	23	20	105	200	yes
ol-[ROOT]	60	13	72	54	199	yes
sh-[ROOT]-ey	51	26	52	67	196	yes
ol-[ROOT]-ey	21	3	91	57	172	yes
ch-[ROOT]-al	39	26	21	83	169	yes
do-[ROOT]	94	8	30	11	143	yes
ch-[ROOT]-or	67	18	19	38	142	yes
sh-[ROOT]-in	68	5	12	56	141	yes
ol-[ROOT]-in	22	10	55	43	130	yes
ol-[ROOT]-dy	11	3	69	46	129	yes
yk-[ROOT]	74	26	8	18	126	yes
sa-[ROOT]-in	32	7	33	41	113	yes
qo-[ROOT]-or	65	2	12	29	108	yes
sh-[ROOT]-ol	34	8	32	27	101	yes
ol-[ROOT]-y	30	8	51	12	101	yes
[ROOT]-es	44	20	10	26	100	yes
da-[ROOT]-y	32	16	27	11	86	yes
[ROOT]-os	27	18	0	26	71	no
ot-[ROOT]-ar	7	36	2	22	67	yes
ot-[ROOT]-ol	37	14	3	13	67	yes
yk-[ROOT]-dy	26	13	12	14	65	yes
[ROOT]-ed	3	3	23	36	65	yes
qo-[ROOT]-ed	2	0	31	31	64	no
op-[ROOT]-dy	11	2	17	33	63	yes
ok-[ROOT]-ol	18	21	6	18	63	yes
sh-[ROOT]-al	14	9	15	22	60	yes
sh-[ROOT]-ar	14	4	10	32	60	yes
op-[ROOT]	12	13	5	28	58	yes
yk-[ROOT]-ey	14	13	10	20	57	yes
[ROOT]-e	15	6	7	27	55	yes
yk-[ROOT]-y	29	13	7	4	53	yes
ot-[ROOT]-al	8	24	2	19	53	yes
ok-[ROOT]-ar	10	24	3	15	52	yes
da-[ROOT]-dy	19	6	14	13	52	yes
yk-[ROOT]-in	28	3	5	14	50	yes
ok-[ROOT]-or	27	9	7	6	49	yes
[ROOT]-oy	25	8	1	14	48	yes
op-[ROOT]-ey	8	8	10	18	44	yes
ot-[ROOT]-or	22	9	5	7	43	yes
ch-[ROOT]-es	16	5	9	13	43	yes
ok-[ROOT]-al	11	14	4	14	43	yes
qo-[ROOT]-e	2	2	16	22	42	yes
ch-[ROOT]-os	15	8	0	18	41	no
sh-[ROOT]-or	18	3	10	8	39	yes
ot-[ROOT]-os	3	30	0	6	39	no
op-[ROOT]-in	11	8	1	15	35	yes
[ROOT]-om	23	2	1	8	34	yes
op-[ROOT]-y	11	5	4	13	33	yes
ol-[ROOT]-ar	6	2	9	9	26	yes
ol-[ROOT]-al	3	2	10	10	25	yes
do-[ROOT]-in	17	2	2	3	24	yes
yk-[ROOT]-ol	12	4	1	6	23	yes
qo-[ROOT]-es	10	0	5	8	23	no
da-[ROOT]-al	6	6	4	5	21	yes
ch-[ROOT]-oy	10	4	0	6	20	no
sh-[ROOT]-e	5	1	4	9	19	yes
do-[ROOT]-y	12	4	1	2	19	yes
ol-[ROOT]-ol	6	0	8	5	19	no
sa-[ROOT]-y	6	5	1	6	18	yes
ok-[ROOT]-os	3	13	1	1	18	yes
ch-[ROOT]-ed	1	1	4	12	18	yes
ch-[ROOT]-e	2	6	4	5	17	yes
ot-[ROOT]-es	3	9	0	5	17	no
da-[ROOT]-ol	8	1	5	2	16	yes
ok-[ROOT]-es	3	8	2	3	16	yes
qo-[ROOT]-oy	8	2	0	5	15	no
ok-[ROOT]-oy	4	7	0	3	14	no
qo-[ROOT]-os	6	0	0	8	14	no
op-[ROOT]-al	4	2	1	6	13	yes
sh-[ROOT]-es	5	4	2	2	13	yes
do-[ROOT]-dy	3	1	7	2	13	yes
ol-[ROOT]-ed	0	0	5	8	13	no
ot-[ROOT]-oy	2	9	0	2	13	no
ot-[ROOT]-e	1	1	3	7	12	yes
sh-[ROOT]-os	5	2	0	5	12	no
sh-[ROOT]-ed	2	0	3	7	12	no
yk-[ROOT]-or	7	1	0	4	12	no
op-[ROOT]-ol	4	2	0	5	11	no
ot-[ROOT]-ed	0	2	2	6	10	no
da-[ROOT]-ar	3	0	3	4	10	no
ok-[ROOT]-e	0	5	1	4	10	no
yk-[ROOT]-os	3	4	0	3	10	no
ok-[ROOT]-ed	1	0	4	5	10	no
op-[ROOT]-or	3	2	2	2	9	yes
yk-[ROOT]-ar	3	3	1	2	9	yes
sh-[ROOT]-oy	4	1	0	4	9	no
sa-[ROOT]-dy	2	2	3	2	9	yes
sa-[ROOT]-al	1	5	2	1	9	yes
op-[ROOT]-ar	3	1	0	4	8	no
ok-[ROOT]-om	5	2	0	1	8	no
ch-[ROOT]-om	6	0	0	2	8	no
da-[ROOT]-or	7	0	1	0	8	no
ol-[ROOT]-es	0	1	1	5	7	no
qo-[ROOT]-om	6	0	1	0	7	no
do-[ROOT]-ey	1	3	3	0	7	no
yk-[ROOT]-al	2	4	0	1	7	no
ol-[ROOT]-e	0	1	3	3	7	no
yk-[ROOT]-es	0	5	1	1	7	no
sa-[ROOT]-ar	1	1	2	2	6	yes
sa-[ROOT]-ol	2	0	2	2	6	no
da-[ROOT]-ey	0	2	4	0	6	no
ol-[ROOT]-or	4	0	0	2	6	no
op-[ROOT]-ed	0	0	2	3	5	no
da-[ROOT]-om	1	0	2	2	5	no
yk-[ROOT]-e	2	2	0	0	4	no
yk-[ROOT]-oy	1	3	0	0	4	no
op-[ROOT]-es	1	0	0	2	3	no
do-[ROOT]-ed	0	0	2	0	2	no
do-[ROOT]-ar	2	0	0	0	2	no
do-[ROOT]-al	1	0	1	0	2	no
ot-[ROOT]-om	2	0	0	0	2	no
do-[ROOT]-or	1	0	1	0	2	no
do-[ROOT]-ol	0	0	2	0	2	no
op-[ROOT]-e	1	0	0	1	2	no
da-[ROOT]-e	1	0	0	1	2	no
sa-[ROOT]-ey	0	0	1	0	1	no
do-[ROOT]-os	0	0	0	1	1	no
da-[ROOT]-es	0	1	0	0	1	no
do-[ROOT]-e	0	0	0	1	1	no
sh-[ROOT]-om	0	0	0	1	1	no
op-[ROOT]-oy	1	0	0	0	1	no
da-[ROOT]-ed	0	0	1	0	1	no
da-[ROOT]-os	0	0	0	1	1	no
da-[ROOT]-oy	1	0	0	0	1	no
sa-[ROOT]-or	0	0	0	1	1	no
ol-[ROOT]-os	0	0	0	1	1	no
sa-[ROOT]-ed	0	0	1	0	1	no
sa-[ROOT]-om	0	0	0	1	1	no
